downtime_id,machine_id,date,downtime_category,duration_hours,downtime_cost,shift_affected,was_scheduled,impact_description
DT-000001,MCH-001,2025-07-23,Planned Maintenance,3.21,81.93,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000002,MCH-001,2025-09-29,Planned Maintenance,3.01,76.77,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000003,MCH-001,2024-08-22,Planned Maintenance,2.58,65.74,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000004,MCH-001,2025-03-06,Planned Maintenance,1.92,48.88,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000005,MCH-001,2024-10-28,Planned Maintenance,3.93,100.17,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000006,MCH-001,2025-04-17,Planned Maintenance,3.12,79.52,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000007,MCH-001,2025-12-02,Planned Maintenance,3.38,86.06,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000008,MCH-001,2025-12-05,Planned Maintenance,2.62,66.78,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000009,MCH-001,2025-05-13,Planned Maintenance,1.77,45.1,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000010,MCH-001,2025-03-24,Planned Maintenance,2.21,56.46,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000011,MCH-001,2024-08-22,Planned Maintenance,2.58,65.74,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000012,MCH-001,2024-12-11,Planned Maintenance,3.75,95.7,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000013,MCH-001,2025-07-21,Planned Maintenance,3.2,81.59,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000014,MCH-001,2025-04-24,Planned Maintenance,2.88,73.32,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000015,MCH-001,2025-05-23,Planned Maintenance,1.93,49.22,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000016,MCH-001,2025-11-28,Planned Maintenance,2.59,66.1,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000017,MCH-001,2024-12-26,Planned Maintenance,2.07,52.68,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000018,MCH-001,2024-10-08,Planned Maintenance,2.78,70.92,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000019,MCH-001,2025-01-06,Planned Maintenance,2.54,64.72,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000020,MCH-001,2025-05-19,Planned Maintenance,3.17,80.89,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000021,MCH-001,2025-08-28,Planned Maintenance,2.96,75.38,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000022,MCH-001,2024-08-06,Planned Maintenance,1.15,29.27,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000023,MCH-001,2024-09-12,Planned Maintenance,2.56,65.41,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000024,MCH-001,2025-12-17,Planned Maintenance,4.04,102.94,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000025,MCH-001,2025-03-27,Planned Maintenance,3.47,88.47,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000026,MCH-001,2025-01-16,Planned Maintenance,1.77,45.1,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000027,MCH-001,2024-09-23,Planned Maintenance,1.46,37.18,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000028,MCH-001,2025-02-26,Planned Maintenance,2.89,73.67,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000029,MCH-001,2024-05-10,Planned Maintenance,4.28,109.12,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000030,MCH-001,2024-10-09,Planned Maintenance,3.17,80.89,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000031,MCH-001,2025-01-08,Planned Maintenance,3.2,81.59,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000032,MCH-001,2025-06-12,Planned Maintenance,3.86,98.46,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000033,MCH-001,2024-07-11,Planned Maintenance,3.02,77.11,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000034,MCH-001,2025-10-14,Planned Maintenance,1.36,34.76,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000035,MCH-001,2025-09-25,Planned Maintenance,1.9,48.53,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000036,MCH-001,2025-12-09,Planned Maintenance,3.08,78.49,Night (10PM-6AM),True,Scheduled service - production rerouted
