production_id,job_order_id,product_id,machine_id,operator_id,step_number,step_machine_type,date,shift,start_time,end_time,setup_time_min,cycle_time_min,queue_time_min,total_time_min,quantity_in,quantity_good,first_pass_yield,machine_cost,labor_cost
PRD-RUN-000001,JOB-00001,PRD-006,MCH-005,OPR-011,1,CNC Lathe,2024-03-01,Night (10PM-6AM),2024-03-01 05:03,2024-03-01 06:22,9.2,39.3,56.1,143.9,2,1,0.85,111.16,46.32
PRD-RUN-000002,JOB-00001,PRD-006,MCH-009,OPR-005,2,Drill Press,2024-03-01,Morning (6AM-2PM),2024-03-01 06:36,2024-03-01 07:34,16.3,23.5,7.0,70.3,2,1,0.905,48.97,34.01
PRD-RUN-000003,JOB-00001,PRD-006,MCH-011,OPR-016,3,Surface Grinder,2024-03-01,Morning (6AM-2PM),2024-03-01 07:58,2024-03-01 09:40,13.1,49.6,6.5,118.8,2,1,0.85,123.39,59.32
PRD-RUN-000004,JOB-00001,PRD-006,MCH-018,OPR-011,4,Inspection Station,2024-03-01,Morning (6AM-2PM),2024-03-01 10:16,2024-03-01 11:01,7.1,21.2,21.3,70.8,2,1,0.85,46.1,26.19
PRD-RUN-000005,JOB-00002,PRD-002,MCH-005,OPR-006,1,CNC Lathe,2025-06-25,Morning (6AM-2PM),2025-06-25 08:23,2025-06-25 12:13,7.1,50.0,55.9,313.0,5,4,0.85,322.13,134.22
PRD-RUN-000006,JOB-00002,PRD-002,MCH-012,OPR-003,2,Surface Grinder,2025-06-25,Morning (6AM-2PM),2025-06-25 12:42,2025-06-25 16:32,8.6,49.4,3.7,259.3,5,4,0.983,277.97,133.64
PRD-RUN-000007,JOB-00002,PRD-002,MCH-014,OPR-001,3,Assembly Station,2025-06-25,Afternoon (2PM-10PM),2025-06-25 17:00,2025-06-25 22:50,11.6,75.8,2.2,392.8,5,4,0.85,261.41,204.22
PRD-RUN-000008,JOB-00002,PRD-002,MCH-018,OPR-016,4,Inspection Station,2025-06-25,Night (10PM-6AM),2025-06-25 23:50,2025-06-26 01:24,8.2,19.4,41.6,146.8,5,4,0.85,97.23,55.24
PRD-RUN-000009,JOB-00003,PRD-005,MCH-001,OPR-016,1,CNC Mill,2025-06-02,Night (10PM-6AM),2025-06-02 02:54,2025-06-02 17:18,6.4,48.0,16.7,983.1,20,17,0.85,1371.52,504.23
PRD-RUN-000010,JOB-00003,PRD-005,MCH-008,OPR-016,2,Drill Press,2025-06-02,Afternoon (2PM-10PM),2025-06-02 17:50,2025-06-03 01:24,12.0,24.8,21.3,529.3,20,17,0.85,381.36,264.83
PRD-RUN-000011,JOB-00003,PRD-005,MCH-013,OPR-002,3,Assembly Station,2025-06-03,Night (10PM-6AM),2025-06-03 01:58,2025-06-04 00:28,7.3,75.2,6.4,1517.7,20,17,0.85,1007.47,787.09
PRD-RUN-000012,JOB-00003,PRD-005,MCH-017,OPR-010,4,Inspection Station,2025-06-04,Night (10PM-6AM),2025-06-04 01:51,2025-06-04 07:58,9.2,20.0,62.6,471.8,20,17,0.85,376.99,214.2
PRD-RUN-000013,JOB-00004,PRD-002,MCH-005,OPR-006,1,CNC Lathe,2024-11-21,Morning (6AM-2PM),2024-11-21 06:28,2024-11-21 08:06,9.7,49.5,0.2,108.9,2,1,0.85,137.35,57.23
PRD-RUN-000014,JOB-00004,PRD-002,MCH-011,OPR-004,2,Surface Grinder,2024-11-21,Morning (6AM-2PM),2024-11-21 08:49,2024-11-21 10:19,10.7,44.1,27.5,126.4,2,1,0.902,108.6,52.21
PRD-RUN-000015,JOB-00004,PRD-002,MCH-013,OPR-010,3,Assembly Station,2024-11-21,Morning (6AM-2PM),2024-11-21 10:51,2024-11-21 13:04,7.7,69.7,3.3,150.4,2,1,0.85,98.64,77.06
PRD-RUN-000016,JOB-00004,PRD-002,MCH-018,OPR-015,4,Inspection Station,2024-11-21,Morning (6AM-2PM),2024-11-21 13:48,2024-11-21 14:35,8.4,21.6,26.8,78.4,2,1,0.85,48.25,27.42
PRD-RUN-000017,JOB-00005,PRD-002,MCH-006,OPR-012,1,CNC Lathe,2024-05-23,Night (10PM-6AM),2024-05-23 02:51,2024-05-23 03:49,13.7,49.3,1.1,64.1,1,1,0.869,80.77,33.66
PRD-RUN-000018,JOB-00005,PRD-002,MCH-012,OPR-016,2,Surface Grinder,2024-05-23,Night (10PM-6AM),2024-05-23 04:59,2024-05-23 05:44,9.1,40.8,46.4,96.3,1,1,0.85,55.2,26.54
PRD-RUN-000019,JOB-00005,PRD-002,MCH-015,OPR-012,3,Assembly Station,2024-05-23,Morning (6AM-2PM),2024-05-23 07:15,2024-05-23 08:34,8.2,79.3,83.0,170.5,1,1,0.85,58.99,46.08
PRD-RUN-000020,JOB-00005,PRD-002,MCH-018,OPR-001,4,Inspection Station,2024-05-23,Morning (6AM-2PM),2024-05-23 09:28,2024-05-23 09:56,9.4,21.5,28.3,59.2,1,1,0.85,29.37,16.68
PRD-RUN-000021,JOB-00006,PRD-005,MCH-003,OPR-010,1,CNC Mill,2025-06-05,Morning (6AM-2PM),2025-06-05 07:51,2025-06-05 12:25,15.7,57.7,23.0,327.2,5,4,0.85,433.47,159.37
PRD-RUN-000022,JOB-00006,PRD-005,MCH-010,OPR-011,2,Drill Press,2025-06-05,Morning (6AM-2PM),2025-06-05 12:41,2025-06-05 14:54,8.4,27.9,11.4,159.3,5,4,0.85,111.64,77.53
PRD-RUN-000023,JOB-00006,PRD-005,MCH-016,OPR-004,3,Assembly Station,2025-06-05,Afternoon (2PM-10PM),2025-06-05 16:25,2025-06-05 22:08,9.5,74.8,75.7,459.2,5,4,0.913,256.48,200.38
PRD-RUN-000024,JOB-00006,PRD-005,MCH-018,OPR-001,4,Inspection Station,2025-06-05,Night (10PM-6AM),2025-06-05 22:51,2025-06-06 00:26,11.9,18.6,15.3,120.2,5,4,0.85,97.43,55.36
PRD-RUN-000025,JOB-00007,PRD-006,MCH-005,OPR-014,1,CNC Lathe,2025-01-16,Morning (6AM-2PM),2025-01-16 06:34,2025-01-16 10:14,8.5,47.3,54.5,299.5,5,4,0.856,307.31,128.04
PRD-RUN-000026,JOB-00007,PRD-006,MCH-008,OPR-005,2,Drill Press,2025-01-16,Morning (6AM-2PM),2025-01-16 11:11,2025-01-16 12:43,5.0,19.5,37.3,139.8,5,4,0.918,77.28,53.67
PRD-RUN-000027,JOB-00007,PRD-006,MCH-012,OPR-016,3,Surface Grinder,2025-01-16,Afternoon (2PM-10PM),2025-01-16 16:23,2025-01-16 18:28,8.9,26.0,194.3,333.2,5,4,0.85,151.55,72.86
PRD-RUN-000028,JOB-00007,PRD-006,MCH-017,OPR-008,4,Inspection Station,2025-01-16,Afternoon (2PM-10PM),2025-01-16 19:29,2025-01-16 21:06,11.1,19.3,51.0,158.6,5,4,0.914,99.69,56.64
PRD-RUN-000029,JOB-00008,PRD-003,MCH-004,OPR-012,1,CNC Mill,2024-12-16,Night (10PM-6AM),2024-12-16 02:49,2024-12-16 12:48,10.6,65.9,13.7,683.3,10,8,0.856,949.78,349.18
PRD-RUN-000030,JOB-00008,PRD-003,MCH-008,OPR-003,2,Drill Press,2024-12-16,Morning (6AM-2PM),2024-12-16 13:05,2024-12-16 16:46,11.9,23.4,4.0,249.9,10,10,1.0,185.56,128.86
PRD-RUN-000031,JOB-00008,PRD-003,MCH-005,OPR-013,3,CNC Lathe,2024-12-16,Afternoon (2PM-10PM),2024-12-16 17:22,2024-12-16 23:38,7.6,41.3,8.2,428.8,10,8,0.858,527.24,219.68
PRD-RUN-000032,JOB-00008,PRD-003,MCH-017,OPR-009,4,Inspection Station,2024-12-16,Night (10PM-6AM),2024-12-16 23:57,2024-12-17 03:25,12.9,21.8,8.9,239.8,10,8,0.85,213.45,121.28
PRD-RUN-000033,JOB-00009,PRD-008,MCH-004,OPR-006,1,CNC Mill,2024-11-08,Morning (6AM-2PM),2024-11-08 07:52,2024-11-08 18:43,14.2,71.3,49.7,776.9,10,8,0.85,1033.23,379.87
PRD-RUN-000034,JOB-00009,PRD-008,MCH-009,OPR-012,2,Drill Press,2024-11-08,Afternoon (2PM-10PM),2024-11-08 20:05,2024-11-08 23:48,12.1,23.6,60.7,308.8,10,8,0.85,187.4,130.14
PRD-RUN-000035,JOB-00009,PRD-008,MCH-015,OPR-013,3,Assembly Station,2024-11-09,Night (10PM-6AM),2024-11-09 00:10,2024-11-09 13:21,4.3,88.1,5.4,890.7,10,9,0.913,590.83,461.59
PRD-RUN-000036,JOB-00009,PRD-008,MCH-018,OPR-009,4,Inspection Station,2024-11-09,Afternoon (2PM-10PM),2024-11-09 14:15,2024-11-09 17:42,10.6,22.0,43.4,274.0,10,8,0.85,212.11,120.52
PRD-RUN-000037,JOB-00010,PRD-001,MCH-003,OPR-007,1,CNC Mill,2024-02-14,Morning (6AM-2PM),2024-02-14 06:40,2024-02-14 22:06,6.0,51.5,2.3,1038.3,20,17,0.864,1469.25,540.17
PRD-RUN-000038,JOB-00010,PRD-001,MCH-008,OPR-011,2,Drill Press,2024-02-14,Night (10PM-6AM),2024-02-14 22:45,2024-02-15 06:58,4.4,27.3,18.8,569.2,20,17,0.85,413.62,287.23
PRD-RUN-000039,JOB-00010,PRD-001,MCH-011,OPR-014,3,Surface Grinder,2024-02-15,Morning (6AM-2PM),2024-02-15 08:44,2024-02-15 21:47,15.0,43.0,88.5,963.5,20,17,0.85,950.04,456.75
PRD-RUN-000040,JOB-00010,PRD-001,MCH-018,OPR-012,4,Inspection Station,2024-02-15,Night (10PM-6AM),2024-02-15 22:20,2024-02-16 04:46,8.3,21.2,8.0,440.3,20,17,0.85,396.6,225.34
PRD-RUN-000041,JOB-00011,PRD-007,MCH-003,OPR-004,1,CNC Mill,2024-10-29,Night (10PM-6AM),2024-10-29 02:50,2024-10-29 10:05,10.3,47.5,10.5,495.8,10,8,0.875,689.09,253.34
PRD-RUN-000042,JOB-00011,PRD-007,MCH-008,OPR-016,2,Drill Press,2024-10-29,Morning (6AM-2PM),2024-10-29 11:13,2024-10-29 15:16,13.6,25.8,53.7,325.3,10,8,0.85,204.62,142.1
