quality_event_id,production_id,job_order_id,product_id,machine_id,operator_id,date,defect_type,severity,disposition,rework_cost,root_cause,corrective_action_taken
QE-000001,PRD-RUN-000001,JOB-00001,PRD-006,MCH-005,OPR-011,2024-03-01,Alignment Error,Major,Rework,49.16,Operator Error,False
QE-000002,PRD-RUN-000002,JOB-00001,PRD-006,MCH-009,OPR-005,2024-03-01,Material Defect,Minor,Rework,94.18,Machine Calibration,False
QE-000003,PRD-RUN-000003,JOB-00001,PRD-006,MCH-011,OPR-016,2024-03-01,Material Defect,Major,Scrap,16.85,Machine Calibration,True
QE-000004,PRD-RUN-000004,JOB-00001,PRD-006,MCH-018,OPR-011,2024-03-01,Tool Wear Damage,Minor,Scrap,9.79,Process Drift,True
QE-000005,PRD-RUN-000005,JOB-00002,PRD-002,MCH-005,OPR-006,2025-06-25,Alignment Error,Critical,Scrap,55.83,Process Drift,True
QE-000006,PRD-RUN-000006,JOB-00002,PRD-002,MCH-012,OPR-003,2025-06-25,Surface Finish Defect,Major,Scrap,54.3,Process Drift,False
QE-000007,PRD-RUN-000007,JOB-00002,PRD-002,MCH-014,OPR-001,2025-06-25,Tool Wear Damage,Minor,Use As-Is,0.0,Operator Error,True
QE-000008,PRD-RUN-000008,JOB-00002,PRD-002,MCH-018,OPR-016,2025-06-25,Alignment Error,Major,Scrap,45.26,Environmental,False
QE-000009,PRD-RUN-000009,JOB-00003,PRD-005,MCH-001,OPR-016,2025-06-02,Alignment Error,Critical,Rework,80.83,Process Drift,True
QE-000010,PRD-RUN-000009,JOB-00003,PRD-005,MCH-001,OPR-016,2025-06-02,Alignment Error,Minor,Rework,53.55,Process Drift,False
QE-000011,PRD-RUN-000009,JOB-00003,PRD-005,MCH-001,OPR-016,2025-06-02,Surface Finish Defect,Minor,Rework,47.74,Tool Wear,True
QE-000012,PRD-RUN-000010,JOB-00003,PRD-005,MCH-008,OPR-016,2025-06-02,Assembly Error,Major,Use As-Is,0.0,Tool Wear,False
QE-000013,PRD-RUN-000010,JOB-00003,PRD-005,MCH-008,OPR-016,2025-06-02,Material Defect,Major,Rework,18.47,Machine Calibration,False
QE-000014,PRD-RUN-000010,JOB-00003,PRD-005,MCH-008,OPR-016,2025-06-02,Surface Finish Defect,Minor,Use As-Is,0.0,Tool Wear,False
QE-000015,PRD-RUN-000011,JOB-00003,PRD-005,MCH-013,OPR-002,2025-06-03,Alignment Error,Minor,Rework,15.72,Process Drift,False
QE-000016,PRD-RUN-000011,JOB-00003,PRD-005,MCH-013,OPR-002,2025-06-03,Surface Finish Defect,Critical,Scrap,41.97,Material Variation,True
QE-000017,PRD-RUN-000011,JOB-00003,PRD-005,MCH-013,OPR-002,2025-06-03,Assembly Error,Minor,Rework,16.22,Machine Calibration,False
QE-000018,PRD-RUN-000012,JOB-00003,PRD-005,MCH-017,OPR-010,2025-06-04,Assembly Error,Minor,Use As-Is,0.0,Material Variation,False
QE-000019,PRD-RUN-000012,JOB-00003,PRD-005,MCH-017,OPR-010,2025-06-04,Material Defect,Minor,Rework,27.9,Environmental,True
QE-000020,PRD-RUN-000012,JOB-00003,PRD-005,MCH-017,OPR-010,2025-06-04,Crack/Fracture,Minor,Scrap,30.15,Material Variation,False
QE-000021,PRD-RUN-000013,JOB-00004,PRD-002,MCH-005,OPR-006,2024-11-21,Assembly Error,Critical,Rework,81.47,Environmental,False
QE-000022,PRD-RUN-000014,JOB-00004,PRD-002,MCH-011,OPR-004,2024-11-21,Material Defect,Major,Scrap,51.74,Machine Calibration,True
QE-000023,PRD-RUN-000015,JOB-00004,PRD-002,MCH-013,OPR-010,2024-11-21,Contamination,Major,Use As-Is,0.0,Tool Wear,True
QE-000024,PRD-RUN-000016,JOB-00004,PRD-002,MCH-018,OPR-015,2024-11-21,Alignment Error,Minor,Rework,94.2,Operator Error,False
QE-000025,PRD-RUN-000021,JOB-00006,PRD-005,MCH-003,OPR-010,2025-06-05,Contamination,Major,Use As-Is,0.0,Process Drift,True
QE-000026,PRD-RUN-000022,JOB-00006,PRD-005,MCH-010,OPR-011,2025-06-05,Assembly Error,Minor,Rework,117.19,Process Drift,False
QE-000027,PRD-RUN-000023,JOB-00006,PRD-005,MCH-016,OPR-004,2025-06-05,Dimensional Out-of-Spec,Minor,Rework,117.89,Environmental,True
QE-000028,PRD-RUN-000024,JOB-00006,PRD-005,MCH-018,OPR-001,2025-06-05,Tool Wear Damage,Minor,Rework,36.8,Process Drift,False
QE-000029,PRD-RUN-000025,JOB-00007,PRD-006,MCH-005,OPR-014,2025-01-16,Tool Wear Damage,Major,Rework,51.93,Material Variation,False
QE-000030,PRD-RUN-000026,JOB-00007,PRD-006,MCH-008,OPR-005,2025-01-16,Crack/Fracture,Minor,Scrap,14.05,Machine Calibration,True
QE-000031,PRD-RUN-000027,JOB-00007,PRD-006,MCH-012,OPR-016,2025-01-16,Alignment Error,Major,Rework,19.64,Material Variation,True
QE-000032,PRD-RUN-000028,JOB-00007,PRD-006,MCH-017,OPR-008,2025-01-16,Alignment Error,Minor,Rework,35.2,Process Drift,True
QE-000033,PRD-RUN-000029,JOB-00008,PRD-003,MCH-004,OPR-012,2024-12-16,Tool Wear Damage,Major,Rework,104.63,Operator Error,False
QE-000034,PRD-RUN-000029,JOB-00008,PRD-003,MCH-004,OPR-012,2024-12-16,Assembly Error,Major,Use As-Is,0.0,Process Drift,False
QE-000035,PRD-RUN-000031,JOB-00008,PRD-003,MCH-005,OPR-013,2024-12-16,Dimensional Out-of-Spec,Critical,Scrap,26.75,Machine Calibration,False
QE-000036,PRD-RUN-000031,JOB-00008,PRD-003,MCH-005,OPR-013,2024-12-16,Crack/Fracture,Minor,Use As-Is,0.0,Process Drift,True
QE-000037,PRD-RUN-000032,JOB-00008,PRD-003,MCH-017,OPR-009,2024-12-16,Contamination,Critical,Scrap,28.21,Environmental,True
QE-000038,PRD-RUN-000032,JOB-00008,PRD-003,MCH-017,OPR-009,2024-12-16,Assembly Error,Minor,Rework,92.34,Material Variation,True
QE-000039,PRD-RUN-000033,JOB-00009,PRD-008,MCH-004,OPR-006,2024-11-08,Assembly Error,Minor,Scrap,10.85,Tool Wear,False
QE-000040,PRD-RUN-000033,JOB-00009,PRD-008,MCH-004,OPR-006,2024-11-08,Crack/Fracture,Major,Rework,105.82,Machine Calibration,False
