production_id,job_order_id,product_id,machine_id,operator_id,step_number,step_machine_type,date,shift,start_time,end_time,setup_time_min,cycle_time_min,queue_time_min,total_time_min,quantity_in,quantity_good,first_pass_yield,machine_cost,labor_cost
PRD-RUN-000001,JOB-00001,PRD-006,MCH-005,OPR-011,1,CNC Lathe,2024-03-01,Night (10PM-6AM),2024-03-01 05:03,2024-03-01 06:22,9.2,35.1,56.1,135.5,2,1,0.85,99.25,46.32
PRD-RUN-000002,JOB-00001,PRD-006,MCH-009,OPR-005,2,Drill Press,2024-03-01,Morning (6AM-2PM),2024-03-01 06:36,2024-03-01 07:34,16.3,21.0,7.0,65.3,2,1,0.905,43.72,34.01
PRD-RUN-000003,JOB-00001,PRD-006,MCH-011,OPR-016,3,Surface Grinder,2024-03-01,Morning (6AM-2PM),2024-03-01 07:58,2024-03-01 09:40,13.1,44.3,6.5,108.2,2,1,0.85,110.17,59.32
PRD-RUN-000004,JOB-00001,PRD-006,MCH-018,OPR-011,4,Inspection Station,2024-03-01,Morning (6AM-2PM),2024-03-01 10:16,2024-03-01 11:01,7.1,18.9,21.3,66.2,2,1,0.85,41.16,26.19
PRD-RUN-000005,JOB-00002,PRD-002,MCH-005,OPR-006,1,CNC Lathe,2025-06-25,Morning (6AM-2PM),2025-06-25 08:23,2025-06-25 12:13,7.1,44.6,55.9,286.0,5,4,0.85,287.62,134.22
PRD-RUN-000006,JOB-00002,PRD-002,MCH-012,OPR-003,2,Surface Grinder,2025-06-25,Morning (6AM-2PM),2025-06-25 12:42,2025-06-25 16:32,8.6,44.1,3.7,232.8,5,4,0.983,248.19,133.64
PRD-RUN-000007,JOB-00002,PRD-002,MCH-014,OPR-001,3,Assembly Station,2025-06-25,Afternoon (2PM-10PM),2025-06-25 17:00,2025-06-25 22:50,11.6,67.7,2.2,352.3,5,4,0.85,233.4,204.22
PRD-RUN-000008,JOB-00002,PRD-002,MCH-018,OPR-016,4,Inspection Station,2025-06-25,Night (10PM-6AM),2025-06-25 23:50,2025-06-26 01:24,8.2,17.3,41.6,136.3,5,4,0.85,86.81,55.24
PRD-RUN-000009,JOB-00003,PRD-005,MCH-001,OPR-016,1,CNC Mill,2025-06-02,Night (10PM-6AM),2025-06-02 02:54,2025-06-02 17:18,6.4,42.9,16.7,881.1,20,17,0.85,1224.57,504.23
PRD-RUN-000010,JOB-00003,PRD-005,MCH-008,OPR-016,2,Drill Press,2025-06-02,Afternoon (2PM-10PM),2025-06-02 17:50,2025-06-03 01:24,12.0,22.1,21.3,475.3,20,17,0.85,340.5,264.83
PRD-RUN-000011,JOB-00003,PRD-005,MCH-013,OPR-002,3,Assembly Station,2025-06-03,Night (10PM-6AM),2025-06-03 01:58,2025-06-04 00:28,7.3,67.1,6.4,1355.7,20,17,0.85,899.53,787.09
PRD-RUN-000012,JOB-00003,PRD-005,MCH-017,OPR-010,4,Inspection Station,2025-06-04,Night (10PM-6AM),2025-06-04 01:51,2025-06-04 07:58,9.2,17.9,62.6,429.8,20,17,0.85,336.6,214.2
PRD-RUN-000013,JOB-00004,PRD-002,MCH-005,OPR-006,1,CNC Lathe,2024-11-21,Morning (6AM-2PM),2024-11-21 06:28,2024-11-21 08:06,9.7,44.2,0.2,98.3,2,1,0.85,122.63,57.23
PRD-RUN-000014,JOB-00004,PRD-002,MCH-011,OPR-004,2,Surface Grinder,2024-11-21,Morning (6AM-2PM),2024-11-21 08:49,2024-11-21 10:19,10.7,39.4,27.5,117.0,2,1,0.902,96.96,52.21
PRD-RUN-000015,JOB-00004,PRD-002,MCH-013,OPR-010,3,Assembly Station,2024-11-21,Morning (6AM-2PM),2024-11-21 10:51,2024-11-21 13:04,7.7,62.2,3.3,135.4,2,1,0.85,88.07,77.06
PRD-RUN-000016,JOB-00004,PRD-002,MCH-018,OPR-015,4,Inspection Station,2024-11-21,Morning (6AM-2PM),2024-11-21 13:48,2024-11-21 14:35,8.4,19.3,26.8,73.8,2,1,0.85,43.08,27.42
PRD-RUN-000017,JOB-00005,PRD-002,MCH-006,OPR-012,1,CNC Lathe,2024-05-23,Night (10PM-6AM),2024-05-23 02:51,2024-05-23 03:49,13.7,44.0,1.1,58.8,1,1,0.869,72.12,33.66
PRD-RUN-000018,JOB-00005,PRD-002,MCH-012,OPR-016,2,Surface Grinder,2024-05-23,Night (10PM-6AM),2024-05-23 04:59,2024-05-23 05:44,9.1,36.4,46.4,91.9,1,1,0.85,49.29,26.54
PRD-RUN-000019,JOB-00005,PRD-002,MCH-015,OPR-012,3,Assembly Station,2024-05-23,Morning (6AM-2PM),2024-05-23 07:15,2024-05-23 08:34,8.2,70.8,83.0,162.0,1,1,0.85,52.67,46.08
PRD-RUN-000020,JOB-00005,PRD-002,MCH-018,OPR-001,4,Inspection Station,2024-05-23,Morning (6AM-2PM),2024-05-23 09:28,2024-05-23 09:56,9.4,19.2,28.3,56.9,1,1,0.85,26.22,16.68
PRD-RUN-000021,JOB-00006,PRD-005,MCH-003,OPR-010,1,CNC Mill,2025-06-05,Morning (6AM-2PM),2025-06-05 07:51,2025-06-05 12:25,15.7,51.5,23.0,296.2,5,4,0.85,387.03,159.37
PRD-RUN-000022,JOB-00006,PRD-005,MCH-010,OPR-011,2,Drill Press,2025-06-05,Morning (6AM-2PM),2025-06-05 12:41,2025-06-05 14:54,8.4,24.9,11.4,144.3,5,4,0.85,99.68,77.53
PRD-RUN-000023,JOB-00006,PRD-005,MCH-016,OPR-004,3,Assembly Station,2025-06-05,Afternoon (2PM-10PM),2025-06-05 16:25,2025-06-05 22:08,9.5,66.8,75.7,419.2,5,4,0.913,229.0,200.38
PRD-RUN-000024,JOB-00006,PRD-005,MCH-018,OPR-001,4,Inspection Station,2025-06-05,Night (10PM-6AM),2025-06-05 22:51,2025-06-06 00:26,11.9,16.6,15.3,110.2,5,4,0.85,86.99,55.36
PRD-RUN-000025,JOB-00007,PRD-006,MCH-005,OPR-014,1,CNC Lathe,2025-01-16,Morning (6AM-2PM),2025-01-16 06:34,2025-01-16 10:14,8.5,42.2,54.5,274.0,5,4,0.856,274.38,128.04
PRD-RUN-000026,JOB-00007,PRD-006,MCH-008,OPR-005,2,Drill Press,2025-01-16,Morning (6AM-2PM),2025-01-16 11:11,2025-01-16 12:43,5.0,17.4,37.3,129.3,5,4,0.918,69.0,53.67
PRD-RUN-000027,JOB-00007,PRD-006,MCH-012,OPR-016,3,Surface Grinder,2025-01-16,Afternoon (2PM-10PM),2025-01-16 16:23,2025-01-16 18:28,8.9,23.2,194.3,319.2,5,4,0.85,135.31,72.86
PRD-RUN-000028,JOB-00007,PRD-006,MCH-017,OPR-008,4,Inspection Station,2025-01-16,Afternoon (2PM-10PM),2025-01-16 19:29,2025-01-16 21:06,11.1,17.2,51.0,148.1,5,4,0.914,89.01,56.64
PRD-RUN-000029,JOB-00008,PRD-003,MCH-004,OPR-012,1,CNC Mill,2024-12-16,Night (10PM-6AM),2024-12-16 02:49,2024-12-16 12:48,10.6,58.8,13.7,612.3,10,8,0.856,848.02,349.18
PRD-RUN-000030,JOB-00008,PRD-003,MCH-008,OPR-003,2,Drill Press,2024-12-16,Morning (6AM-2PM),2024-12-16 13:05,2024-12-16 16:46,11.9,20.9,4.0,224.9,10,10,1.0,165.68,128.86
PRD-RUN-000031,JOB-00008,PRD-003,MCH-005,OPR-013,3,CNC Lathe,2024-12-16,Afternoon (2PM-10PM),2024-12-16 17:22,2024-12-16 23:38,7.6,36.9,8.2,384.8,10,8,0.858,470.75,219.68
PRD-RUN-000032,JOB-00008,PRD-003,MCH-017,OPR-009,4,Inspection Station,2024-12-16,Night (10PM-6AM),2024-12-16 23:57,2024-12-17 03:25,12.9,19.5,8.9,216.8,10,8,0.85,190.58,121.28
PRD-RUN-000033,JOB-00009,PRD-008,MCH-004,OPR-006,1,CNC Mill,2024-11-08,Morning (6AM-2PM),2024-11-08 07:52,2024-11-08 18:43,14.2,63.7,49.7,700.9,10,8,0.85,922.53,379.87
PRD-RUN-000034,JOB-00009,PRD-008,MCH-009,OPR-012,2,Drill Press,2024-11-08,Afternoon (2PM-10PM),2024-11-08 20:05,2024-11-08 23:48,12.1,21.1,60.7,283.8,10,8,0.85,167.32,130.14
PRD-RUN-000035,JOB-00009,PRD-008,MCH-015,OPR-013,3,Assembly Station,2024-11-09,Night (10PM-6AM),2024-11-09 00:10,2024-11-09 13:21,4.3,78.7,5.4,796.7,10,9,0.913,527.53,461.59
PRD-RUN-000036,JOB-00009,PRD-008,MCH-018,OPR-009,4,Inspection Station,2024-11-09,Afternoon (2PM-10PM),2024-11-09 14:15,2024-11-09 17:42,10.6,19.6,43.4,250.0,10,8,0.85,189.38,120.52
PRD-RUN-000037,JOB-00010,PRD-001,MCH-003,OPR-007,1,CNC Mill,2024-02-14,Morning (6AM-2PM),2024-02-14 06:40,2024-02-14 22:06,6.0,46.0,2.3,928.3,20,17,0.864,1311.83,540.17
PRD-RUN-000038,JOB-00010,PRD-001,MCH-008,OPR-011,2,Drill Press,2024-02-14,Night (10PM-6AM),2024-02-14 22:45,2024-02-15 06:58,4.4,24.4,18.8,511.2,20,17,0.85,369.3,287.23
PRD-RUN-000039,JOB-00010,PRD-001,MCH-011,OPR-014,3,Surface Grinder,2024-02-15,Morning (6AM-2PM),2024-02-15 08:44,2024-02-15 21:47,15.0,38.4,88.5,871.5,20,17,0.85,848.25,456.75
PRD-RUN-000040,JOB-00010,PRD-001,MCH-018,OPR-012,4,Inspection Station,2024-02-15,Night (10PM-6AM),2024-02-15 22:20,2024-02-16 04:46,8.3,18.9,8.0,394.3,20,17,0.85,354.11,225.34
PRD-RUN-000041,JOB-00011,PRD-007,MCH-003,OPR-004,1,CNC Mill,2024-10-29,Night (10PM-6AM),2024-10-29 02:50,2024-10-29 10:05,10.3,42.4,10.5,444.8,10,8,0.875,615.26,253.34
PRD-RUN-000042,JOB-00011,PRD-007,MCH-008,OPR-016,2,Drill Press,2024-10-29,Morning (6AM-2PM),2024-10-29 11:13,2024-10-29 15:16,13.6,23.0,53.7,297.3,10,8,0.85,182.7,142.1
PRD-RUN-000043,JOB-00011,PRD-007,MCH-010,OPR-005,3,Drill Press,2024-10-29,Afternoon (2PM-10PM),2024-10-29 16:53,2024-10-29 20:47,11.8,22.2,82.1,315.9,10,9,0.901,175.35,136.38
PRD-RUN-000044,JOB-00011,PRD-007,MCH-012,OPR-005,4,Surface Grinder,2024-10-29,Night (10PM-6AM),2024-10-29 22:21,2024-10-30 02:52,9.5,26.1,69.0,339.5,10,9,0.949,293.04,157.79
PRD-RUN-000045,JOB-00011,PRD-007,MCH-018,OPR-006,5,Inspection Station,2024-10-30,Night (10PM-6AM),2024-10-30 03:18,2024-10-30 06:38,6.8,19.3,17.0,216.8,10,8,0.85,183.15,116.55
PRD-RUN-000046,JOB-00012,PRD-004,MCH-006,OPR-016,1,CNC Lathe,2025-07-21,Night (10PM-6AM),2025-07-21 04:24,2025-07-21 07:52,7.1,40.1,109.7,317.3,5,4,0.85,259.5,121.1
PRD-RUN-000047,JOB-00012,PRD-004,MCH-012,OPR-003,2,Surface Grinder,2025-07-21,Morning (6AM-2PM),2025-07-21 09:07,2025-07-21 11:19,9.0,24.6,49.9,181.9,5,4,0.917,143.0,77.0
PRD-RUN-000048,JOB-00012,PRD-004,MCH-018,OPR-001,3,Inspection Station,2025-07-21,Morning (6AM-2PM),2025-07-21 13:05,2025-07-21 14:48,9.2,18.7,81.9,184.6,5,4,0.85,94.14,59.91
PRD-RUN-000049,JOB-00013,PRD-003,MCH-004,OPR-002,1,CNC Mill,2024-12-18,Night (10PM-6AM),2024-12-18 05:46,2024-12-19 03:15,11.5,63.9,52.9,1342.4,20,17,0.85,1826.79,752.21
PRD-RUN-000050,JOB-00013,PRD-003,MCH-008,OPR-010,2,Drill Press,2024-12-19,Night (10PM-6AM),2024-12-19 03:36,2024-12-19 12:35,4.7,26.7,2.8,541.5,20,17,0.85,404.03,314.24
PRD-RUN-000051,JOB-00013,PRD-003,MCH-007,OPR-004,3,CNC Lathe,2024-12-19,Morning (6AM-2PM),2024-12-19 13:15,2024-12-20 01:29,7.9,36.3,31.1,765.0,20,17,0.85,917.37,428.11
PRD-RUN-000052,JOB-00013,PRD-003,MCH-017,OPR-016,4,Inspection Station,2024-12-20,Night (10PM-6AM),2024-12-20 01:43,2024-12-20 06:58,13.9,15.1,3.8,319.7,20,17,0.85,289.57,184.27
PRD-RUN-000053,JOB-00014,PRD-007,MCH-003,OPR-001,1,CNC Mill,2025-07-24,Night (10PM-6AM),2025-07-24 03:05,2025-07-24 05:09,14.2,55.1,91.5,215.9,2,1,0.85,176.23,72.57
PRD-RUN-000054,JOB-00014,PRD-007,MCH-009,OPR-012,2,Drill Press,2025-07-24,Night (10PM-6AM),2025-07-24 05:54,2025-07-24 06:47,7.4,23.0,22.8,76.2,2,1,0.867,40.05,31.15
PRD-RUN-000055,JOB-00014,PRD-007,MCH-010,OPR-001,3,Drill Press,2025-07-24,Morning (6AM-2PM),2025-07-24 07:35,2025-07-24 08:38,10.6,26.4,34.5,97.9,2,1,0.85,47.55,36.98
PRD-RUN-000056,JOB-00014,PRD-007,MCH-011,OPR-009,4,Surface Grinder,2025-07-24,Morning (6AM-2PM),2025-07-24 09:07,2025-07-24 09:57,9.7,20.3,2.6,52.9,2,1,0.85,54.49,29.34
PRD-RUN-000057,JOB-00014,PRD-007,MCH-017,OPR-012,5,Inspection Station,2025-07-24,Morning (6AM-2PM),2025-07-24 10:48,2025-07-24 11:32,9.6,17.0,44.7,88.3,2,1,0.85,39.97,25.43
PRD-RUN-000058,JOB-00015,PRD-004,MCH-006,OPR-005,1,CNC Lathe,2024-07-16,Night (10PM-6AM),2024-07-16 02:09,2024-07-16 03:00,10.5,40.8,12.8,64.1,1,1,0.959,64.12,29.93
PRD-RUN-000059,JOB-00015,PRD-004,MCH-011,OPR-009,2,Surface Grinder,2024-07-16,Morning (6AM-2PM),2024-07-16 06:38,2024-07-16 07:24,8.9,36.7,207.5,253.1,1,1,0.85,49.4,26.6
PRD-RUN-000060,JOB-00015,PRD-004,MCH-017,OPR-007,3,Inspection Station,2024-07-16,Morning (6AM-2PM),2024-07-16 07:51,2024-07-16 08:15,6.5,18.0,12.4,36.9,1,1,0.857,22.46,14.29
PRD-RUN-000061,JOB-00016,PRD-002,MCH-006,OPR-003,1,CNC Lathe,2024-06-05,Night (10PM-6AM),2024-06-05 05:09,2024-06-05 05:51,7.2,34.9,6.4,48.5,1,1,0.953,52.62,24.56
PRD-RUN-000062,JOB-00016,PRD-002,MCH-012,OPR-008,2,Surface Grinder,2024-06-05,Morning (6AM-2PM),2024-06-05 06:33,2024-06-05 07:23,11.9,38.4,11.2,61.5,1,1,0.907,54.49,29.34
PRD-RUN-000063,JOB-00016,PRD-002,MCH-013,OPR-016,3,Assembly Station,2024-06-05,Morning (6AM-2PM),2024-06-05 07:58,2024-06-05 09:32,13.1,81.2,23.6,117.9,1,1,0.85,62.87,55.01
PRD-RUN-000064,JOB-00016,PRD-002,MCH-018,OPR-008,4,Inspection Station,2024-06-05,Morning (6AM-2PM),2024-06-05 09:39,2024-06-05 10:05,8.8,16.4,1.3,26.5,1,1,0.866,23.1,14.7
PRD-RUN-000065,JOB-00017,PRD-003,MCH-004,OPR-014,1,CNC Mill,2025-08-27,Morning (6AM-2PM),2025-08-27 06:37,2025-08-27 13:47,11.0,41.9,86.8,516.8,10,8,0.884,609.17,250.83
PRD-RUN-000066,JOB-00017,PRD-003,MCH-009,OPR-004,2,Drill Press,2025-08-27,Afternoon (2PM-10PM),2025-08-27 14:39,2025-08-27 18:06,8.4,19.9,45.5,252.9,10,9,0.927,155.55,120.98
PRD-RUN-000067,JOB-00017,PRD-003,MCH-006,OPR-010,3,CNC Lathe,2025-08-27,Afternoon (2PM-10PM),2025-08-27 19:12,2025-08-28 01:51,15.3,38.3,55.8,454.1,10,8,0.85,497.88,232.34
PRD-RUN-000068,JOB-00017,PRD-003,MCH-018,OPR-006,4,Inspection Station,2025-08-28,Night (10PM-6AM),2025-08-28 02:44,2025-08-28 06:15,9.3,20.1,36.9,247.2,10,8,0.85,192.78,122.68
PRD-RUN-000069,JOB-00018,PRD-007,MCH-004,OPR-011,1,CNC Mill,2025-10-31,Night (10PM-6AM),2025-10-31 05:21,2025-10-31 10:40,11.4,61.4,105.8,424.2,5,4,0.85,451.07,185.73
PRD-RUN-000070,JOB-00018,PRD-007,MCH-010,OPR-005,2,Drill Press,2025-10-31,Morning (6AM-2PM),2025-10-31 10:53,2025-10-31 12:43,13.2,19.5,1.8,112.5,5,4,0.933,83.03,64.58
PRD-RUN-000071,JOB-00018,PRD-007,MCH-010,OPR-007,3,Drill Press,2025-10-31,Morning (6AM-2PM),2025-10-31 13:56,2025-10-31 15:49,8.3,21.1,47.9,161.7,5,4,0.881,85.35,66.38
PRD-RUN-000072,JOB-00018,PRD-007,MCH-012,OPR-005,4,Surface Grinder,2025-10-31,Afternoon (2PM-10PM),2025-10-31 18:49,2025-10-31 21:31,8.5,30.7,166.2,328.2,5,4,0.934,175.5,94.5
PRD-RUN-000073,JOB-00018,PRD-007,MCH-018,OPR-007,5,Inspection Station,2025-10-31,Night (10PM-6AM),2025-10-31 22:34,2025-10-31 23:59,9.2,15.1,39.7,124.4,5,4,0.91,77.64,49.41
PRD-RUN-000074,JOB-00019,PRD-001,MCH-003,OPR-010,1,CNC Mill,2024-06-12,Night (10PM-6AM),2024-06-12 04:38,2024-06-12 06:44,7.1,59.5,43.9,170.0,2,1,0.85,178.64,73.56
PRD-RUN-000075,JOB-00019,PRD-001,MCH-008,OPR-010,2,Drill Press,2024-06-12,Morning (6AM-2PM),2024-06-12 08:25,2024-06-12 09:30,10.8,27.0,95.3,160.1,2,1,0.85,48.6,37.8
PRD-RUN-000076,JOB-00019,PRD-001,MCH-012,OPR-006,3,Surface Grinder,2024-06-12,Morning (6AM-2PM),2024-06-12 10:27,2024-06-12 11:48,8.4,36.0,47.0,127.4,2,1,0.85,87.1,46.9
PRD-RUN-000077,JOB-00019,PRD-001,MCH-018,OPR-014,4,Inspection Station,2024-06-12,Morning (6AM-2PM),2024-06-12 12:16,2024-06-12 12:58,12.3,14.9,19.7,61.8,2,1,0.869,38.59,24.56
PRD-RUN-000078,JOB-00020,PRD-006,MCH-005,OPR-005,1,CNC Lathe,2025-09-15,Night (10PM-6AM),2025-09-15 01:17,2025-09-15 08:00,10.0,39.3,7.3,410.3,10,9,0.918,503.75,235.08
PRD-RUN-000079,JOB-00020,PRD-006,MCH-010,OPR-015,2,Drill Press,2025-09-15,Morning (6AM-2PM),2025-09-15 08:58,2025-09-15 14:13,17.5,29.8,28.3,343.8,10,8,0.85,236.63,184.04
PRD-RUN-000080,JOB-00020,PRD-006,MCH-012,OPR-012,3,Surface Grinder,2025-09-15,Afternoon (2PM-10PM),2025-09-15 16:26,2025-09-15 23:10,11.5,39.3,103.1,507.6,10,8,0.85,438.21,235.96
PRD-RUN-000081,JOB-00020,PRD-006,MCH-018,OPR-012,4,Inspection Station,2025-09-15,Night (10PM-6AM),2025-09-15 23:51,2025-09-16 02:57,13.3,17.3,12.5,198.8,10,8,0.85,170.78,108.67
PRD-RUN-000082,JOB-00021,PRD-008,MCH-004,OPR-015,1,CNC Mill,2025-01-10,Night (10PM-6AM),2025-01-10 05:02,2025-01-10 06:53,8.1,51.4,4.2,115.1,2,1,0.85,157.11,64.69
PRD-RUN-000083,JOB-00021,PRD-008,MCH-009,OPR-014,2,Drill Press,2025-01-10,Morning (6AM-2PM),2025-01-10 07:12,2025-01-10 08:10,14.1,21.9,2.7,60.6,2,1,0.871,43.42,33.77
PRD-RUN-000084,JOB-00021,PRD-008,MCH-016,OPR-001,3,Assembly Station,2025-01-10,Morning (6AM-2PM),2025-01-10 08:33,2025-01-10 11:50,10.4,93.0,0.3,196.7,2,1,0.85,130.93,114.57
PRD-RUN-000085,JOB-00021,PRD-008,MCH-017,OPR-014,4,Inspection Station,2025-01-10,Morning (6AM-2PM),2025-01-10 12:18,2025-01-10 12:56,7.6,14.9,22.1,59.5,2,1,0.928,34.28,21.82
PRD-RUN-000086,JOB-00022,PRD-002,MCH-005,OPR-005,1,CNC Lathe,2025-03-03,Morning (6AM-2PM),2025-03-03 06:09,2025-03-03 12:46,10.2,38.6,60.3,456.5,10,9,0.938,495.25,231.12
PRD-RUN-000087,JOB-00022,PRD-002,MCH-012,OPR-008,2,Surface Grinder,2025-03-03,Morning (6AM-2PM),2025-03-03 13:07,2025-03-03 17:45,4.3,27.3,5.0,282.3,10,9,0.935,300.41,161.76
PRD-RUN-000088,JOB-00022,PRD-002,MCH-015,OPR-005,3,Assembly Station,2025-03-03,Afternoon (2PM-10PM),2025-03-03 19:50,2025-03-04 03:44,7.5,46.6,95.9,569.4,10,9,0.914,315.67,276.21
PRD-RUN-000089,JOB-00022,PRD-002,MCH-018,OPR-002,4,Inspection Station,2025-03-04,Night (10PM-6AM),2025-03-04 04:28,2025-03-04 07:52,13.4,19.1,28.4,232.8,10,8,0.85,187.37,119.23
PRD-RUN-000090,JOB-00023,PRD-003,MCH-004,OPR-005,1,CNC Mill,2024-08-19,Morning (6AM-2PM),2024-08-19 07:28,2024-08-19 11:36,9.0,47.8,62.7,310.7,5,4,0.898,351.33,144.67
PRD-RUN-000091,JOB-00023,PRD-003,MCH-009,OPR-001,2,Drill Press,2024-08-19,Morning (6AM-2PM),2024-08-19 12:01,2024-08-19 14:12,8.1,24.5,15.6,146.2,5,4,0.85,97.95,76.18
PRD-RUN-000092,JOB-00023,PRD-003,MCH-006,OPR-015,3,CNC Lathe,2024-08-19,Afternoon (2PM-10PM),2024-08-19 15:34,2024-08-19 19:06,10.2,40.4,52.8,265.0,5,4,0.85,265.25,123.78
PRD-RUN-000093,JOB-00023,PRD-003,MCH-017,OPR-003,4,Inspection Station,2024-08-19,Afternoon (2PM-10PM),2024-08-19 19:34,2024-08-19 20:59,13.1,14.3,15.4,100.0,5,4,0.925,77.55,49.35
PRD-RUN-000094,JOB-00024,PRD-006,MCH-005,OPR-009,1,CNC Lathe,2024-06-07,Night (10PM-6AM),2024-06-07 02:08,2024-06-07 06:07,6.4,46.5,14.4,253.3,5,4,0.85,298.62,139.36
PRD-RUN-000095,JOB-00024,PRD-006,MCH-010,OPR-004,2,Drill Press,2024-06-07,Morning (6AM-2PM),2024-06-07 07:07,2024-06-07 09:16,3.3,25.1,37.9,166.7,5,4,0.912,96.6,75.13
PRD-RUN-000096,JOB-00024,PRD-006,MCH-012,OPR-004,3,Surface Grinder,2024-06-07,Morning (6AM-2PM),2024-06-07 09:41,2024-06-07 13:10,6.9,40.4,17.8,226.7,5,4,0.91,226.31,121.86
PRD-RUN-000097,JOB-00024,PRD-006,MCH-018,OPR-016,4,Inspection Station,2024-06-07,Morning (6AM-2PM),2024-06-07 13:56,2024-06-07 15:31,8.1,17.5,26.6,122.2,5,4,0.85,87.63,55.77
PRD-RUN-000098,JOB-00025,PRD-005,MCH-003,OPR-002,1,CNC Mill,2024-12-10,Night (10PM-6AM),2024-12-10 05:12,2024-12-10 10:01,9.1,56.1,21.5,311.1,5,4,0.85,410.27,168.93
