production_id,job_order_id,product_id,machine_id,operator_id,step_number,step_machine_type,date,shift,start_time,end_time,setup_time_min,cycle_time_min,queue_time_min,total_time_min,quantity_in,quantity_good,first_pass_yield,machine_cost,labor_cost
PRD-RUN-000001,JOB-00001,PRD-006,MCH-005,OPR-011,1,CNC Lathe,2024-03-01,Night (10PM-6AM),2024-03-01 05:03,2024-03-01 06:22,9.2,35.1,33.7,113.1,2,1,0.876,99.25,46.32
PRD-RUN-000002,JOB-00001,PRD-006,MCH-009,OPR-005,2,Drill Press,2024-03-01,Morning (6AM-2PM),2024-03-01 06:36,2024-03-01 07:34,16.3,21.0,4.2,62.5,2,1,0.932,43.72,34.01
PRD-RUN-000003,JOB-00001,PRD-006,MCH-011,OPR-016,3,Surface Grinder,2024-03-01,Morning (6AM-2PM),2024-03-01 07:58,2024-03-01 09:40,13.1,44.3,3.9,105.6,2,1,0.876,110.17,59.32
PRD-RUN-000004,JOB-00001,PRD-006,MCH-018,OPR-011,4,Inspection Station,2024-03-01,Morning (6AM-2PM),2024-03-01 10:16,2024-03-01 11:01,7.1,18.9,12.8,57.7,2,1,0.876,41.16,26.19
PRD-RUN-000005,JOB-00002,PRD-002,MCH-005,OPR-006,1,CNC Lathe,2025-06-25,Morning (6AM-2PM),2025-06-25 08:23,2025-06-25 12:13,7.1,44.6,33.5,263.6,5,4,0.876,287.62,134.22
PRD-RUN-000006,JOB-00002,PRD-002,MCH-012,OPR-003,2,Surface Grinder,2025-06-25,Morning (6AM-2PM),2025-06-25 12:42,2025-06-25 16:32,8.6,44.1,2.2,231.3,5,4,1.0,248.19,133.64
PRD-RUN-000007,JOB-00002,PRD-002,MCH-014,OPR-001,3,Assembly Station,2025-06-25,Afternoon (2PM-10PM),2025-06-25 17:00,2025-06-25 22:50,11.6,67.7,1.3,351.4,5,4,0.876,233.4,204.22
PRD-RUN-000008,JOB-00002,PRD-002,MCH-018,OPR-016,4,Inspection Station,2025-06-25,Night (10PM-6AM),2025-06-25 23:50,2025-06-26 01:24,8.2,17.3,25.0,119.7,5,4,0.876,86.81,55.24
PRD-RUN-000009,JOB-00003,PRD-005,MCH-001,OPR-016,1,CNC Mill,2025-06-02,Night (10PM-6AM),2025-06-02 02:54,2025-06-02 17:18,6.4,42.9,10.0,874.4,20,17,0.876,1224.57,504.23
PRD-RUN-000010,JOB-00003,PRD-005,MCH-008,OPR-016,2,Drill Press,2025-06-02,Afternoon (2PM-10PM),2025-06-02 17:50,2025-06-03 01:24,12.0,22.1,12.8,466.8,20,17,0.876,340.5,264.83
PRD-RUN-000011,JOB-00003,PRD-005,MCH-013,OPR-002,3,Assembly Station,2025-06-03,Night (10PM-6AM),2025-06-03 01:58,2025-06-04 00:28,7.3,67.1,3.8,1353.1,20,17,0.876,899.53,787.09
PRD-RUN-000012,JOB-00003,PRD-005,MCH-017,OPR-010,4,Inspection Station,2025-06-04,Night (10PM-6AM),2025-06-04 01:51,2025-06-04 07:58,9.2,17.9,37.6,404.8,20,17,0.876,336.6,214.2
PRD-RUN-000013,JOB-00004,PRD-002,MCH-005,OPR-006,1,CNC Lathe,2024-11-21,Morning (6AM-2PM),2024-11-21 06:28,2024-11-21 08:06,9.7,44.2,0.1,98.2,2,1,0.876,122.63,57.23
PRD-RUN-000014,JOB-00004,PRD-002,MCH-011,OPR-004,2,Surface Grinder,2024-11-21,Morning (6AM-2PM),2024-11-21 08:49,2024-11-21 10:19,10.7,39.4,16.5,106.0,2,1,0.929,96.96,52.21
PRD-RUN-000015,JOB-00004,PRD-002,MCH-013,OPR-010,3,Assembly Station,2024-11-21,Morning (6AM-2PM),2024-11-21 10:51,2024-11-21 13:04,7.7,62.2,2.0,134.1,2,1,0.876,88.07,77.06
PRD-RUN-000016,JOB-00004,PRD-002,MCH-018,OPR-015,4,Inspection Station,2024-11-21,Morning (6AM-2PM),2024-11-21 13:48,2024-11-21 14:35,8.4,19.3,16.1,63.1,2,1,0.876,43.08,27.42
PRD-RUN-000017,JOB-00005,PRD-002,MCH-006,OPR-012,1,CNC Lathe,2024-05-23,Night (10PM-6AM),2024-05-23 02:51,2024-05-23 03:49,13.7,44.0,0.7,58.4,1,1,0.895,72.12,33.66
PRD-RUN-000018,JOB-00005,PRD-002,MCH-012,OPR-016,2,Surface Grinder,2024-05-23,Night (10PM-6AM),2024-05-23 04:59,2024-05-23 05:44,9.1,36.4,27.8,73.3,1,1,0.876,49.29,26.54
PRD-RUN-000019,JOB-00005,PRD-002,MCH-015,OPR-012,3,Assembly Station,2024-05-23,Morning (6AM-2PM),2024-05-23 07:15,2024-05-23 08:34,8.2,70.8,49.8,128.8,1,1,0.876,52.67,46.08
PRD-RUN-000020,JOB-00005,PRD-002,MCH-018,OPR-001,4,Inspection Station,2024-05-23,Morning (6AM-2PM),2024-05-23 09:28,2024-05-23 09:56,9.4,19.2,17.0,45.6,1,1,0.876,26.22,16.68
PRD-RUN-000021,JOB-00006,PRD-005,MCH-003,OPR-010,1,CNC Mill,2025-06-05,Morning (6AM-2PM),2025-06-05 07:51,2025-06-05 12:25,15.7,51.5,13.8,287.0,5,4,0.876,387.03,159.37
PRD-RUN-000022,JOB-00006,PRD-005,MCH-010,OPR-011,2,Drill Press,2025-06-05,Morning (6AM-2PM),2025-06-05 12:41,2025-06-05 14:54,8.4,24.9,6.8,139.7,5,4,0.876,99.68,77.53
PRD-RUN-000023,JOB-00006,PRD-005,MCH-016,OPR-004,3,Assembly Station,2025-06-05,Afternoon (2PM-10PM),2025-06-05 16:25,2025-06-05 22:08,9.5,66.8,45.4,388.9,5,4,0.94,229.0,200.38
PRD-RUN-000024,JOB-00006,PRD-005,MCH-018,OPR-001,4,Inspection Station,2025-06-05,Night (10PM-6AM),2025-06-05 22:51,2025-06-06 00:26,11.9,16.6,9.2,104.1,5,4,0.876,86.99,55.36
PRD-RUN-000025,JOB-00007,PRD-006,MCH-005,OPR-014,1,CNC Lathe,2025-01-16,Morning (6AM-2PM),2025-01-16 06:34,2025-01-16 10:14,8.5,42.2,32.7,252.2,5,4,0.882,274.38,128.04
PRD-RUN-000026,JOB-00007,PRD-006,MCH-008,OPR-005,2,Drill Press,2025-01-16,Morning (6AM-2PM),2025-01-16 11:11,2025-01-16 12:43,5.0,17.4,22.4,114.4,5,4,0.946,69.0,53.67
PRD-RUN-000027,JOB-00007,PRD-006,MCH-012,OPR-016,3,Surface Grinder,2025-01-16,Afternoon (2PM-10PM),2025-01-16 16:23,2025-01-16 18:28,8.9,23.2,116.6,241.5,5,4,0.876,135.31,72.86
PRD-RUN-000028,JOB-00007,PRD-006,MCH-017,OPR-008,4,Inspection Station,2025-01-16,Afternoon (2PM-10PM),2025-01-16 19:29,2025-01-16 21:06,11.1,17.2,30.6,127.7,5,4,0.941,89.01,56.64
PRD-RUN-000029,JOB-00008,PRD-003,MCH-004,OPR-012,1,CNC Mill,2024-12-16,Night (10PM-6AM),2024-12-16 02:49,2024-12-16 12:48,10.6,58.8,8.2,606.8,10,8,0.882,848.02,349.18
PRD-RUN-000030,JOB-00008,PRD-003,MCH-008,OPR-003,2,Drill Press,2024-12-16,Morning (6AM-2PM),2024-12-16 13:05,2024-12-16 16:46,11.9,20.9,2.4,223.3,10,10,1.0,165.68,128.86
PRD-RUN-000031,JOB-00008,PRD-003,MCH-005,OPR-013,3,CNC Lathe,2024-12-16,Afternoon (2PM-10PM),2024-12-16 17:22,2024-12-16 23:38,7.6,36.9,4.9,381.5,10,8,0.884,470.75,219.68
PRD-RUN-000032,JOB-00008,PRD-003,MCH-017,OPR-009,4,Inspection Station,2024-12-16,Night (10PM-6AM),2024-12-16 23:57,2024-12-17 03:25,12.9,19.5,5.3,213.2,10,8,0.876,190.58,121.28
